Risk_ID,Date_Identified,Last_Updated,Category,Subcategory,Risk_Title,Risk_Description,Phase_Affected,Discipline,Likelihood,Impact,Risk_Score,Risk_Rating,Risk_Owner,Mitigation_Strategy,Mitigation_Actions,Contingency_Plan,Status,Trigger_Event,Cost_Exposure,Schedule_Exposure_Days,Actual_Impact,Notes
RSK-001,2025-01-06,2025-03-15,Geotechnical,Subsurface Conditions,Unexpected Rock at Parkade Levels,Geotechnical report indicates possible rock at P2 depth. Could require blasting or rock breaking increasing cost and duration.,Substructure,Civil,4,4,16,High,Project Manager,Additional geotechnical borings before excavation. Pre-qualify rock excavation subcontractor.,Completed 4 additional borings in Jan 2025. Rock confirmed at P2. Pre-qualified rock breaker sub.,Shift to mechanical rock breaking. Add $400K contingency for rock excavation.,Realized,Rock encountered during excavation,650000,10,Rock encountered at P2 level. Mechanical breaking added $520K and 4 days to excavation. Managed within contingency.,Actual cost impact exceeded initial estimate by $120K
RSK-002,2025-01-06,2025-02-21,Regulatory,Permits,Municipal Permit Delays,City of Vancouver building permit review may exceed standard timeline due to staff shortages and backlog.,Preconstruction,General,3,3,9,Medium,Project Manager,Submit permit application early. Engage permit expediter. Pre-consultation with city planning.,Submitted 2 weeks early. Hired permit expediter in week 2.,Fast-track review application. Escalate to Director of Building.,Realized,Permit review exceeded 4-week target,85000,5,Permit took 30 business days vs planned 25. 5-day delay to critical path.,Expediter helped avoid longer delay
RSK-003,2025-01-06,2025-09-05,Supply Chain,Material Procurement,Facade System Supply Chain Failure,Single-source curtain wall supplier may fail to deliver on quality or schedule. Global glass supply chain remains tight.,Superstructure,Envelope,3,5,15,High,Construction Manager,Qualify backup supplier. Include performance bond in facade contract. Require shop drawing submittal 8 weeks early.,Backup supplier qualified (GlassWorks Pacific). Performance bond secured. Early shop drawings requested.,Switch to backup supplier with unitized system. Accept 3-4 week schedule impact for redesign.,Realized,Original supplier failed QA in June 2025,2800000,21,Original supplier's panels failed thermal cycling QA test. Switched to GlassWorks Pacific unitized system. Redesign took 4 weeks. Delivery delayed 3 weeks beyond revised schedule. Total 21-day critical path impact.,Largest single risk event on project. Triggered recovery schedule.
RSK-004,2025-01-06,2026-03-31,Labour,Availability,Skilled Trades Shortage - Formwork Carpenters,Vancouver market has limited formwork carpenter availability. Multiple high-rise projects competing for same crews.,Superstructure,Structural,4,3,12,High,Construction Manager,Secure formwork subcontract early with dedicated crew commitment. Include retention incentive clause.,FormTech Structures contracted with 15-person dedicated crew. Retention bonus at milestone completion.,Bring in out-of-province crew. Accept 1-week delay per occurrence.,Mitigated,Crew size drops below 12 for >1 week,350000,7,Brief shortage in Aug 2025 (1 week) when 3 carpenters left for competing project. Resolved with retention bonus activation.,Retention clause proved effective
RSK-005,2025-01-06,2026-03-31,Safety,Fall Protection,Serious Fall from Height Incident,High-rise construction inherently carries fall risk. A serious incident could trigger WorkSafeBC stop-work order.,All Phases,General,3,5,15,High,Safety Manager,100% tie-off policy. Retractable SRL systems on all elevated work. Weekly harness inspections. Monthly safety audits.,SRL systems installed. Weekly inspections active. Monthly audits by third-party safety consultant.,Full safety stand-down (1 day). WorkSafeBC liaison. Incident investigation. Return-to-work plan.,Realized,Fall incident on July 2 2025,180000,3,Worker fell 2.5m from formwork on Floor 3 (SAF-009). Fractured wrist and ribs. Full safety stand-down conducted. WorkSafeBC investigation - no stop-work order issued. SRL system upgrade implemented.,28 days lost time for injured worker. No project stop-work.
RSK-006,2025-01-06,2026-03-31,Weather,Seasonal,Winter Weather Delays,Vancouver winter (Nov-Feb) brings heavy rain and occasional freezing. Could delay concrete pours and exterior work.,Superstructure,Structural,4,2,8,Medium,Superintendent,Build 5 float days into winter schedule for weather. Procure heated enclosures for concrete curing. Monitor 10-day forecast.,Heated enclosures procured. Winter schedule includes weather float. Rain gear for all crews.,Shift to weekend/overtime pours during dry windows. Prioritize interior work during extended rain.,Mitigated,3+ consecutive rain days forecast,200000,5,3 weather delay days used in Nov-Dec 2025. Within planned float. Heated enclosures enabled concrete work to continue in light rain.,Below contingency allocation
RSK-007,2025-03-15,2026-03-31,Geotechnical,Water Table,Higher Than Expected Water Table,Dewatering volumes exceeding design predictions. Risk of prolonged dewatering costs and environmental compliance issues.,Substructure,Civil,3,3,9,Medium,Project Manager,Increase dewatering pump capacity by 30%. Install groundwater monitoring wells. Pre-coordinate with Metro Vancouver on discharge.,Additional pumps installed. 4 monitoring wells active. Discharge permit secured.,Extend dewatering duration. Add treatment capacity if turbidity exceeds limits.,Mitigated,Dewatering rate exceeds 150% of design for >48hrs,120000,3,Water table 0.8m higher than borings indicated. Additional pump managed flow. Sediment discharge incident (SAF-004) triggered filter upgrade.,Environmental near-miss resolved quickly
RSK-008,2025-06-15,2026-03-31,Design,Coordination,MEP-Structure Coordination Conflicts,Complex mechanical systems in residential floors may conflict with post-tension slab geometry. BIM coordination may not catch all conflicts.,Superstructure,Mechanical,3,3,9,Medium,BIM Manager,Weekly BIM coordination meetings. Mandate LOD 350 models from all subs. Run clash detection biweekly.,BIM coordination meetings held weekly since Jul 2025. Clash detection runs every 2 weeks. 847 clashes identified and resolved.,Resolve conflicts in field with RFI process. Accept minor cost for field modifications.,Active,>10 critical clashes unresolved within 2 weeks of detection,150000,5,No critical clashes have remained unresolved >2 weeks. Field modifications needed for 12 minor clashes not caught in model (total cost ~$35K).,BIM process working well. See clash dataset for details.
RSK-009,2025-07-01,2026-03-31,Financial,Cost Escalation,Material Price Escalation - Steel and Concrete,Concrete and rebar prices trending upward. Fixed-price subcontracts may not cover full project duration if subs seek price relief.,All Phases,Structural,3,4,12,High,Project Manager,Lock in material pricing through supply agreements where possible. Include escalation clauses capped at 5% in subcontracts.,Concrete supply agreement locked through Dec 2025. Rebar pricing fixed for full project via Vancouver Rebar Co.,Negotiate partial cost sharing above 5% threshold. Value engineer non-critical elements.,Mitigated,Material price index increases >5% in any quarter,400000,0,Concrete prices increased 3.2% in Q3 2025. Rebar stable. Within cap. No additional cost impact to date.,Monitoring quarterly
RSK-010,2025-01-06,2026-03-31,Regulatory,Environmental,Environmental Non-Compliance - Noise or Discharge,Construction noise bylaws and stormwater discharge requirements in downtown Vancouver are strict. Non-compliance risks fines and stop-work.,All Phases,General,2,4,8,Medium,Safety Manager,Noise monitoring at site boundary. Stormwater management plan. Monthly environmental audit.,Noise monitors installed. Stormwater plan approved. Monthly audits by EcoGuard Consulting.,Cease offending activity. Engage environmental consultant. Self-report to authorities.,Mitigated,Noise complaint from adjacent residents OR discharge exceedance detected,100000,3,Sediment discharge incident in Mar 2025 (SAF-004) was resolved before regulatory involvement. 2 noise complaints received - resolved by adjusting pile driving hours.,Proactive monitoring has been effective
RSK-011,2025-09-01,2026-03-31,Schedule,Recovery,Schedule Recovery Failure - Facade Delay Cascade,21-day facade delay may cascade further if curtain wall installation rate does not meet recovery schedule.,Envelope,Envelope,3,5,15,High,Construction Manager,Increase curtain wall crew from 6 to 10 installers. Add Saturday shifts for facade work. Track daily installation rate.,Crew increased to 10 in Jan 2026. Saturday shifts active since Feb 2026. Daily progress tracked.,Accept compressed commissioning schedule. Negotiate partial occupancy permit for lower floors.,Active,Installation rate falls below 1 floor per 10 working days,500000,14,Crew of 10 achieving 1 floor per 9 days - on revised recovery schedule. Fl 17-25 at 65% as of Mar 31. Risk of further delay remains if any disruption occurs.,Critical active risk - monitored daily
RSK-012,2025-01-06,2026-03-31,Financial,Budget,Project Contingency Depletion,Multiple early risks (rock excavation + facade redesign) have consumed significant contingency. Remaining contingency may be insufficient for closeout phase risks.,All Phases,General,3,4,12,High,Project Manager,Monthly contingency tracking. Prioritize remaining contingency for commissioning and deficiency phases. Value engineer where possible.,Original contingency: $4.1M (5%). Spent to date: $3.2M. Remaining: $900K for 3 months.,Request owner approval for additional contingency. Identify VE opportunities in landscaping and common areas.,Active,Remaining contingency falls below $500K,900000,0,Contingency burn rate is a concern. $900K remaining for commissioning and closeout phases. Two active VE items under review ($180K potential savings).,Discussed with owner at March progress meeting
RSK-013,2025-11-01,2026-03-31,Safety,Confined Space,Confined Space Incidents - Elevator Shaft and Mechanical Rooms,Elevator shaft and mechanical rooms present confined space hazards during installation and commissioning phases.,Interior,Mechanical,2,4,8,Medium,Safety Manager,Confined space entry permits for all shaft and mechanical room work. Continuous air monitoring. Rescue plan and trained rescue team on site.,Entry permits active. Air monitors deployed. 3 workers trained as rescue team.,Stop work in affected area. Deploy rescue team. Report to WorkSafeBC if entry rescue required.,Active,Any confined space atmospheric reading outside safe parameters,75000,2,No confined space incidents to date. 45 safe entries completed.,Ongoing through commissioning
RSK-014,2025-01-06,2026-03-31,Stakeholder,Community,Adjacent Property Owner Complaints,Downtown location adjacent to hotel and residential tower. Construction noise vibration and truck traffic may generate complaints and political pressure.,All Phases,General,4,2,8,Medium,Project Manager,Community liaison program. Monthly newsletter to neighbours. Designated complaint hotline. Vibration monitoring on adjacent structures.,Liaison program active. 6 newsletters issued. Hotline staffed Mon-Sat.,Adjust construction hours. Meet with complainants. Engage city councillor's office if escalated.,Mitigated,>3 formal complaints in any month OR complaint from city councillor's office,50000,2,12 total complaints received over 15 months. Peak was 4 in one month during piling (Apr 2025). Resolved through adjusted working hours and direct communication.,Generally well managed
RSK-015,2026-01-15,2026-03-31,Commissioning,Systems Integration,BAS-MEP Integration Failure During Commissioning,Building automation system integration with HVAC and fire protection may reveal sequencing or communication errors not detectable until full system testing.,Closeout,Electrical,3,4,12,High,Commissioning Agent,Phase commissioning by system. Pre-functional testing before integrated testing. Require BAS vendor on-site during commissioning week.,Pre-functional tests scheduled for Apr 2026. BAS vendor (Siemens) committed to 2-week on-site presence.,Extend commissioning by 1 week. Bring in BAS specialist troubleshooting team.,Active,Pre-functional test failure rate exceeds 15%,200000,7,Commissioning not yet started. Pre-functional test protocols under review. BAS install at 70% - on track for April start.,Key risk for final project phase