Incident_ID,Date,Time,Phase,Location,Floor_Level,Activity,Incident_Type,Severity,Description,Worker_Trade,Worker_Experience_Years,PPE_Compliant,Weather,Temperature_C,Immediate_Action,Root_Cause,Corrective_Action,Days_Lost,Near_Miss,Reported_To_WorkSafeBC,Subcontractor
SAF-001,2025-01-14,08:30,Preconstruction,Site Entrance,Ground,Mobilization,Near Miss,1,Delivery truck reversed without spotter near pedestrian walkway,Teamster,8,Yes,Clear,3,Stopped work - established traffic management plan,No traffic management plan in place,Implemented mandatory spotter protocol for all vehicle movements,0,Yes,No,Pacific Builders Ltd
SAF-002,2025-02-28,10:15,Substructure,Excavation Zone,P2,Excavation,Struck By,3,Worker struck by falling rock during excavation face trimming,Labourer,2,Yes,Rain,6,First aid administered - worker sent to hospital,Unstable rock face not adequately assessed,Installed rock bolts and mesh. Added geotechnical review before each excavation shift,5,No,Yes,GroundForce Excavating
SAF-003,2025-03-07,13:45,Substructure,Excavation Zone,P2,Shoring,Near Miss,1,Shoring strut showed excessive deflection during monitoring,Ironworker,12,Yes,Cloudy,8,Evacuated zone - engineer inspection,Settlement exceeding predictions due to adjacent water main,Added supplementary bracing. Increased monitoring frequency to hourly,0,Yes,No,GroundForce Excavating
SAF-004,2025-03-19,07:50,Substructure,Excavation Zone,P1,Dewatering,Environmental,2,Sediment-laden discharge detected in stormwater outfall,Labourer,3,Yes,Rain,7,Shut down dewatering. Installed emergency sediment bags,Filter system overwhelmed by overnight rainfall,Upgraded filtration capacity. Added turbidity monitoring at outfall,0,No,No,Pacific Builders Ltd
SAF-005,2025-04-11,11:20,Substructure,Foundation Area,P2,Piling,Noise Exposure,2,Noise levels exceeded 85 dBA during rock socket drilling without adequate monitoring,Pile Driver,6,Partial,Clear,12,Distributed hearing protection. Established noise monitoring,Drill rig louder than anticipated in rock conditions,Mandatory audiometric testing. Continuous noise monitoring posted at 3 locations,0,No,No,Deep Foundations Inc
SAF-006,2025-04-22,14:30,Substructure,Foundation Area,P1,Concrete Pour,Slip/Trip/Fall,2,Worker slipped on wet concrete splatter near pump hose connection,Labourer,1,Yes,Clear,14,First aid - minor knee abrasion,Housekeeping not maintained around pump area,Assigned dedicated housekeeping crew during all concrete pours,1,No,No,Pacific Builders Ltd
SAF-007,2025-05-15,09:10,Substructure,P2 Parkade,P2,Rebar Tying,Ergonomic,2,Rebar worker reported lower back strain from prolonged bending,Ironworker,4,Yes,Cloudy,13,Rotated worker to lighter duties,Repetitive bending without ergonomic aids,Provided rebar tying guns. Implemented mandatory rotation every 2 hours,3,No,No,Vancouver Rebar Co
SAF-008,2025-06-05,15:45,Substructure,Below Grade,P1,Waterproofing,Chemical Exposure,2,Waterproofing crew exposed to solvent fumes in confined parkade area,Waterproofer,5,Partial,Clear,18,Ventilation fans deployed. Crew moved to fresh air,Inadequate ventilation for solvent-based membrane application,Switched to water-based membrane system. Added continuous air monitoring,0,No,No,WetSeal Waterproofing
SAF-009,2025-07-02,10:30,Superstructure,Tower Core,3,Formwork,Fall from Height,4,Worker fell 2.5m from formwork platform - safety harness lanyard not connected,Carpenter,7,No,Clear,22,Emergency response activated. Worker hospitalized with fractured wrist and ribs,Worker detached lanyard to move between platforms. No intermediate anchor points,Installed retractable SRL system on all formwork platforms. Full safety stand-down and retraining for all crews,28,No,Yes,FormTech Structures
SAF-010,2025-07-10,08:00,Superstructure,Tower Core,4,Formwork,Near Miss,1,Formwork panel nearly dropped during crane lift - rigging sling showed wear,Carpenter,9,Yes,Clear,20,Stopped lift. Replaced sling. Inspected all rigging,Worn sling not caught in pre-shift inspection,Implemented colour-coded monthly sling inspection tags. Added rigging-specific toolbox talk,0,Yes,No,FormTech Structures
SAF-011,2025-07-28,13:00,Superstructure,Tower Perimeter,5,Core Walls,Falling Object,3,Concrete vibrator dropped from floor 5 edge - struck scaffold netting below,Labourer,2,Yes,Clear,25,Secured perimeter. Inspected netting - held but damaged,No tool tethering in place at slab edge,Mandatory tool tethering for all work above 3rd floor. Replaced scaffold netting,0,No,No,Pacific Builders Ltd
SAF-012,2025-08-18,11:30,Superstructure,Tower Core,8,Core Walls,Heat Stress,2,Two workers showed signs of heat exhaustion during afternoon concrete pour,Labourer,1,Yes,Clear,31,Moved to shade. Provided water and electrolytes. Monitored for 1 hour,Heatwave conditions - no adjusted work schedule,Implemented heat stress protocol: modified hours when humidex >35. Cooling stations on every 3rd floor,1,No,No,Pacific Builders Ltd
SAF-013,2025-09-05,09:45,Superstructure,Tower Core,10,Post-Tension,Struck By,3,PT strand whipped during stressing operation - struck worker on forearm,PT Installer,3,Yes,Cloudy,19,First aid. X-ray confirmed no fracture - deep tissue bruise,Exclusion zone not maintained during stressing,Expanded exclusion zone to 5m radius. Added physical barriers during stressing operations,4,No,Yes,Pacific Post-Tension Ltd
SAF-014,2025-09-22,14:00,Superstructure,Exterior,7,Scaffold,Near Miss,1,High wind gust displaced unsecured scaffold plank on floor 7 perimeter,Scaffold Erector,11,Yes,Windy,15,Secured all planks. Suspended scaffold work for remainder of day,Wind speed exceeded safe working threshold - no anemometer on site,Installed anemometers at ground and every 10th floor. Automatic work suspension at 40 km/h,0,Yes,No,SkyScaffold Systems
SAF-015,2025-10-14,10:00,Superstructure,Tower Core,14,Core Walls,Electrical,3,Temporary power cable damaged by concrete bucket - minor arc flash,Electrician,15,Yes,Rain,11,De-energized circuit. Isolated damaged cable,Cable routing conflicted with concrete placement zone,Rerouted all temporary power cables away from pour zones. Added GFCI protection on all temp circuits,0,No,No,Cascade Electrical
SAF-016,2025-11-03,08:15,Superstructure,Tower Core,16,Core Walls,Near Miss,1,Crane load exceeded 85% capacity during core wall panel lift in wind,Crane Operator,20,Yes,Windy,8,Aborted lift. Waited for wind to subside,Lift plan did not account for wind loading on large panel,Updated lift planning to include real-time wind factor calculations. Added wind speed check 15 min before each critical lift,0,Yes,No,Pacific Builders Ltd
SAF-017,2025-11-12,11:45,Envelope,Tower Exterior,6,Curtain Wall,Fall from Height,3,Curtain wall installer's scaffold bracket failed - worker caught by safety line and suspended,Glazier,4,Yes,Cloudy,7,Rescue team deployed. Worker recovered uninjured but shaken,Bracket fatigue - not detected in inspection,All brackets load-tested before each shift. Added redundant safety cable independent of scaffold system,2,No,Yes,GlassWorks Pacific
SAF-018,2025-12-01,13:30,Interior,Tower Interior,4,MEP Rough-In,Laceration,2,Plumber cut hand on sharp sheet metal duct edge while routing pipe adjacent to ductwork,Plumber,6,Partial,N/A,N/A,First aid - 4 stitches at clinic,No cut-resistant gloves. Sharp duct edges not capped,Mandatory cut-resistant gloves for all trades working near sheet metal. Duct installers must cap edges same day,1,No,No,Westcoast Mechanical
SAF-019,2025-12-18,09:00,Superstructure,Tower Core,20,Core Walls,Near Miss,1,Concrete pump line blockage caused pressure spike - hose coupling shifted,Labourer,2,Yes,Clear,4,Shut down pump. Bled pressure. Inspected all couplings,Pump operator continued pumping when flow stopped instead of shutting down,Retrained all pump operators on blockage protocol. Added pressure relief valves at every 5th coupling,0,Yes,No,Pacific Builders Ltd
SAF-020,2026-01-08,10:30,Envelope,Tower Exterior,12,Curtain Wall,Falling Object,2,Curtain wall gasket strip fell from floor 12 - landed in hoarded pedestrian zone below,Glazier,3,Yes,Clear,2,Inspected hoarding - intact. No injuries. Recovered gasket,Gasket not secured during panel alignment,All loose materials must be tethered or contained during facade work. Extended hoarding by 2m,0,No,No,GlassWorks Pacific
SAF-021,2026-01-22,14:15,Envelope,Roof,Roof,Roofing,Slip/Trip/Fall,2,Roofer slipped on frost-covered membrane during morning application,Roofer,8,Yes,Clear,−1,First aid - bruised hip. No fall from height,Frost not cleared before work started,Morning frost inspection required before roof work. Non-slip mats on access paths,2,No,No,Pacific Roofing Co
SAF-022,2026-02-05,11:00,Interior,Tower Interior,8,Fire Protection,Near Miss,1,Sprinkler pipe coupling failed pressure test - joint separated and sprayed water on floor 8,Sprinklerfitter,5,Yes,N/A,N/A,Shut down test. Mopped floor. Re-made joint,Improper joint preparation - flux contamination,Added independent QC inspection for all sprinkler joints before testing. Material storage protocol updated,0,Yes,No,FireStop Systems
SAF-023,2026-02-19,08:45,Interior,Tower Interior,3,Interior Finishes,Respiratory,2,Drywall dust levels exceeded OEL during sanding on floor 3 - 4 workers exposed,Drywaller,3,Partial,N/A,N/A,Stopped sanding. Issued P100 respirators. Ventilated area,General-use dust masks used instead of rated respirators. No dust extraction,Mandatory P100 respirators for all sanding. Vacuum-attached sanding equipment required,0,No,No,Interior Solutions Ltd
SAF-024,2026-03-03,15:30,Interior,Tower Interior,15,Elevator,Caught Between,3,Elevator installer's hand caught between guide rail and bracket during alignment,Elevator Mechanic,10,Yes,N/A,N/A,Freed hand. First aid - two fingers lacerated and bruised,Pinch point not identified in task hazard analysis,Updated elevator install THA to include all pinch points. Mandatory two-person operation for rail alignment,5,No,Yes,Otis Elevator
SAF-025,2026-03-11,10:00,Envelope,Tower Exterior,19,Curtain Wall,Near Miss,1,Wind caused unsecured curtain wall panel to swing during crane placement,Glazier,4,Yes,Windy,6,Aborted placement. Secured panel. Stood down for 2 hours,Wind speed borderline - crew proceeded without updated check,Zero tolerance: wind check within 10 min of every glazing lift. No exceptions,0,Yes,No,GlassWorks Pacific
SAF-026,2026-03-18,13:15,Interior,Lobby,Ground,Interior Finishes,Slip/Trip/Fall,1,Tile installer tripped over unsecured power cable in lobby area,Tile Setter,7,Yes,N/A,N/A,Minor stumble - no injury,Cable not routed through designated cable trays,All temporary cables in finished areas must use overhead or designated floor routing,0,No,No,Interior Solutions Ltd
SAF-027,2026-03-25,09:30,Interior,Tower Interior,10,BAS,Electrical,2,BAS technician received minor shock from miswired junction box on floor 10,Electrician,4,Yes,N/A,N/A,De-energized. Assessed - no burns. Monitored for 4 hours,Incorrectly labelled circuit from previous rough-in phase,Mandatory lockout/tagout verification with multimeter before any BAS connection. Circuit labelling audit for all floors,0,No,No,Cascade Electrical